calle1,calle2,Total,año,fechaCorte
CALZADA DEL VALLE ,CALZADA SAN PEDRO,224,2014,31/12/2014
CORREGIDORA,DÍAZ ORDAZ,185,2014,31/12/2014
CALZADA DEL VALLE ,GÓMEZ MORÍN,120,2014,31/12/2014
SANTA BARBARA ,MORONES PRIETO,129,2014,31/12/2014
CORREGIDORA ,MORONES PRIETO ,73,2014,31/12/2014
JOSÉ VASCONCELOS,RICARDO MARGAIN ,86,2014,31/12/2014
GÓMEZ MORÍN,JOSÉ VASCONCELOS,111,2014,31/12/2014
GÓMEZ MORÍN,LÁZARO CÁRDENAS,70,2014,31/12/2014
JOSÉ VASCONCELOS,CALZADA SAN PEDRO,48,2014,31/12/2014
RÍO AMAZONAS ,CALZADA SAN PEDRO,45,2014,31/12/2014
ROBLE,GÓMEZ MORÍN,58,2014,31/12/2014
JOSÉ VASCONCELOS,LÁZARO CÁRDENAS,50,2014,31/12/2014
CALZADA SAN PEDRO ,RÍO MISSISSIPPI,34,2014,31/12/2014
GÓMEZ MORÍN,ALFONSO REYES,38,2014,31/12/2014
HUMBERTO LOBO,MORONES PRIETO,50,2014,31/12/2014
REAL SAN AGUSTÍN,ALFONSO REYES,46,2014,31/12/2014
JERONIMO SILLER,JOSÉ VASCONCELOS,41,2014,31/12/2014
JOSÉ VASCONCELOS,LOMAS DEL VALLE,27,2014,31/12/2014
JOSÉ VASCONCELOS,RÍO BRAVO,32,2014,31/12/2014
RÍO MISSISSIPPI,RÍO TAMAZUNCHALE ,43,2014,31/12/2014
CALZADA DEL VALLE ,CALZADA SAN PEDRO,213,2015,31/12/2015
CORREGIDORA,DÍAZ ORDAZ,193,2015,31/12/2015
CALZADA DEL VALLE ,GÓMEZ MORÍN,102,2015,31/12/2015
SANTA BARBARA ,MORONES PRIETO,135,2015,31/12/2015
CORREGIDORA ,MORONES PRIETO ,71,2015,31/12/2015
JOSÉ VASCONCELOS,RICARDO MARGAIN ,81,2015,31/12/2015
GÓMEZ MORÍN,JOSÉ VASCONCELOS,89,2015,31/12/2015
GÓMEZ MORÍN,LÁZARO CÁRDENAS,80,2015,31/12/2015
JOSÉ VASCONCELOS,CALZADA SAN PEDRO,48,2015,31/12/2015
RÍO AMAZONAS ,CALZADA SAN PEDRO,37,2015,31/12/2015
ROBLE,GÓMEZ MORÍN,57,2015,31/12/2015
JOSÉ VASCONCELOS,LÁZARO CÁRDENAS,36,2015,31/12/2015
CALZADA SAN PEDRO ,RÍO MISSISSIPPI,43,2015,31/12/2015
GÓMEZ MORÍN,ALFONSO REYES,68,2015,31/12/2015
HUMBERTO LOBO,MORONES PRIETO,50,2015,31/12/2015
REAL SAN AGUSTÍN,ALFONSO REYES,59,2015,31/12/2015
JERONIMO SILLER,JOSÉ VASCONCELOS,27,2015,31/12/2015
JOSÉ VASCONCELOS,LOMAS DEL VALLE,30,2015,31/12/2015
JOSÉ VASCONCELOS,RÍO BRAVO,29,2015,31/12/2015
RÍO MISSISSIPPI,RÍO TAMAZUNCHALE ,29,2015,31/12/2015
CALZADA DEL VALLE ,CALZADA SAN PEDRO,141,2016,30/09/2016
CORREGIDORA,DÍAZ ORDAZ,98,2016,30/09/2016
CALZADA DEL VALLE ,GÓMEZ MORÍN,53,2016,30/09/2016
SANTA BARBARA ,MORONES PRIETO,105,2016,30/09/2016
CORREGIDORA ,MORONES PRIETO ,122,2016,30/09/2016
JOSÉ VASCONCELOS,RICARDO MARGAIN ,36,2016,30/09/2016
GÓMEZ MORÍN,JOSÉ VASCONCELOS,54,2016,30/09/2016
GÓMEZ MORÍN,LÁZARO CÁRDENAS,58,2016,30/09/2016
JOSÉ VASCONCELOS,CALZADA SAN PEDRO,35,2016,30/09/2016
RÍO AMAZONAS ,CALZADA SAN PEDRO,39,2016,30/09/2016
ROBLE,GÓMEZ MORÍN,34,2016,30/09/2016
JOSÉ VASCONCELOS,LÁZARO CÁRDENAS,10,2016,30/09/2016
CALZADA SAN PEDRO ,RÍO MISSISSIPPI,27,2016,30/09/2016
GÓMEZ MORÍN,ALFONSO REYES,38,2016,30/09/2016
HUMBERTO LOBO,MORONES PRIETO,45,2016,30/09/2016
REAL SAN AGUSTÍN,ALFONSO REYES,32,2016,30/09/2016
JERONIMO SILLER,JOSÉ VASCONCELOS,22,2016,30/09/2016
JOSÉ VASCONCELOS,LOMAS DEL VALLE,17,2016,30/09/2016
JOSÉ VASCONCELOS,RÍO BRAVO,8,2016,30/09/2016
RÍO MISSISSIPPI,RÍO TAMAZUNCHALE ,29,2016,30/09/2016
